Category: All categories

Week,coronavirus: (Nigeria)
2020-03-15,58
2020-03-22,100
2020-03-29,67
2020-04-05,46
2020-04-12,56
2020-04-19,71
2020-04-26,37
2020-05-03,25
2020-05-10,22
2020-05-17,13
2020-05-24,10
2020-05-31,8
2020-06-07,7
2020-06-14,6
2020-06-21,5
2020-06-28,5
2020-07-05,4
2020-07-12,4
2020-07-19,3
2020-07-26,3
2020-08-02,3
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,1
2020-09-13,2
2020-09-20,2
2020-09-27,1
2020-10-04,1
2020-10-11,2
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,2
2020-12-27,1
2021-01-03,1
2021-01-10,2
2021-01-17,1
2021-01-24,1
