Stock Code,Title,Memo
001339,IPO RESULTS,The Company's IPO results announcement has been disclosed recently.
002273,SHARE REPURCHASE,"As of 09 August 2022, the Company has repurchased 13907600 public shares, accounting for 1 percent of the Company's total capital stock. The highest repurchase price was CNY11.73 per share and the lowest was CNY9.28 per share."
002996,CONVERTIBLE BOND ISSUANCE-WITH PREEMPTION,"Type: convertible corporate bond Issuing size: CNY830 millionIssuing price: issued at parSubscription unit: CNY1000Maturity: 6 yearsIssuing mechanism: following the preemption for existing non-restricted shareholders, a book-building process will be conducted offline combined with online public offering Indicative annual coupon range: from 12 August 2022 to 11 August 2023: 0.300 percentfrom 12 August 2023 to 11 August 2024: 0.600 percentfrom 12 August 2024 to 11 August 2025: 1.000 percentfrom 12 August 2025 to 11 August 2026: 1.600 percentfrom 12 August 2026 to 11 August 2027: 2.000 percentfrom 12 August 2027 to 11 August 2028: 2.500 percentTargeted listing bourse: Shenzhen Stock ExchangeInformation about preemption for non-restricted shareholders (excluding restricted floating shareholders):Record date: 11 August 2022Subscription date: 12 August 2022Code: 082996Preemption rate: existing shareholders are entitled to subscribe for CNY1.8906bond for every 1 share they held. (Those fractional part less than 1 unit will be settled according to the calculation rules of central depository.)On-net subscription for all investors: Subscription date: 12 August 2022Cost debit date:15 August 2022Minimum subscription: CNY1000Upper limit: CNY1000000Subscription amount must be the multiple of CNY1000Off-net subscription for institutions:Minimum subscription: Not availableUpper limit: Not availableSubscription date:Not availableCost debit date:Not availableDeposit:Not availableSubscription amount must be the multiple of CNY"
002841,NON-PUBLIC LISTING,The Company's 29.466839 million restricted A-shares via non-public offering will be listed on Shenzhen Stock Exchange as of 11 August 2022.
002146,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Provision of guarantee for the financing of a company2. Provision of guarantee for the financing of another company3. Renewal of the strategic cooperation agreement with a company"
002319,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Election of non-independent directors, cumulative voting system applicable1.1. Zhou Yubin1.2. Wang Taoguang1.3. Huang Jie1.4. Guo Meng2. Election of independent directors, cumulative voting system applicable2.1. He Suying2.2. Wu Zunjie2.3. Zhang Caifeng3. Election of non-employee supervisors, cumulative voting system applicable3.1. Xiao Li3.2. Zhang Xuemei4. Remuneration for senior management and allowance for independent directors"
002060,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Provision of guarantee for a company2. Provision of guarantee for another company3. A company's merger and acquisition of another companyMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 19 August 2022 to 19 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362060Voting abbreviation:No.2 Hydropower votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002501,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:50 on 25 August 2022.Meeting agenda:1. By-election of independent directors2. By-election of non-independent directors, cumulative voting system applicable2.1. Liu Shumao2.2. Gao Yunhui3. By-election of non-employee supervisors, cumulative voting system applicable3.1. Xu Li3.2. Wei XiaoweiMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 17 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 18 August 2022 to 18 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362501Voting abbreviation:LYPM votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002471,EGM-ONLINE,"The Company will hold the 5th Extraordinary General Meeting of 2022 at 13:30 on 25 August 2022.Meeting agenda:1. Recovery of relevant assets of a controlled subsidiary by Xushe Town GovernmentMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 22 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362471Voting abbreviation:Zhongchao Holding votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002986,EGM-ONLINE,"The Company will hold the 5th Extraordinary General Meeting of 2022 at 14:30 on 30 August 2022.Meeting agenda:1. Connected transaction regarding acquisition of 10 percent equities in a company held by Hu XiannianMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 23 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 29 August 2022 to 29 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 30 August 2022Voting code:362986Voting abbreviation:Yussen votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 30 August 2022 to 30 August 2022."
